source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RMED,DTC,NPHI,PEF,GR,RHOB,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.09973504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.25173504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.40373504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.55573504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.70773504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,140.85973504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.01173504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.16373504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.31573504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.46773504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.61973504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.77173504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,141.92373504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.07573504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.22773504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.37973504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.53173504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.68373504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.83573504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,142.98773504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.13973504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.29173504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.44373504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.59573504,,,,,,2.924251318,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.74773504,,,,,,3.4327702522,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,143.89973504,,,,,,6.1827249527,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.05173504,,,,,,14.926488876,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.20373504,,,,,,16.849063873,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.35573504,,,,,,16.849063873,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.50773504,,,,,,16.849063873,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.65973504,,,,,,16.849063873,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.81173504,,,,,,16.849063873,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,144.96373504,,,,,,14.686561584,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.11573504,,,,,,4.5998506546,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.26773504,,,,,,4.6472563744,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.41973504,,,,,,4.7062826157,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.57173504,,,,,,4.7572722435,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.72373504,,,,,,4.8135156631,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,145.87573504,,,,,,11.652304649,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.02773504,,,,,,48.394054413,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.17973504,,,,,,54.167778015,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.33173504,,,,,,54.167778015,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.48373504,,,,,,54.167778015,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.63573504,,,,,,54.167778015,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.78773504,,,,,,51.989627838,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,146.93973504,,,,,,28.243398666,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.09173504,,,,,,15.146765709,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.24373504,,,,,,14.621145248,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.39573504,,,,,,14.621145248,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.54773504,,,,,,14.621145248,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.69973504,,,,,,14.621145248,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,147.85173504,,,,,,14.305103302,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.00373504,,,,,,12.591535568,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.15573504,,,,,,11.472499847,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.30773504,,,,,,11.197699547,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.45973504,,,,,,11.153362274,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.61173504,,,,,,11.101639748,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.76373504,,,,,,11.057249069,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,148.91573504,,,,,,11.928082466,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.06773504,,,,,,21.015281677,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.21973504,,,,,,26.95555687,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.37173504,,,,,,27.71049118,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.52373504,,,,,,27.71049118,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.67573504,,,,,,27.71049118,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.82773504,,,,,,27.71049118,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,149.97973504,,,,,,26.699396133,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.13173504,,,,,,15.336018562,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.28373504,,,,,,12.733131409,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.43573504,,,,,,12.806099892,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.58773504,,,,,,12.879789352,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.73973504,,,,,,12.838681221,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,150.89173504,,,,,,12.249974251,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.04373504,,,,,,11.687139511,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.19573504,,,,,,11.557650566,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.34773504,,,,,,11.557650566,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.49973504,,,,,,11.557650566,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.65173504,,,,,,11.557650566,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.80373504,,,,,,11.552682877,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,151.95573504,,,,,,10.951460838,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.10773504,,,,,,8.1238260269,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.25973504,,,,,,7.7390766144,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.41173504,,,,,,7.8325500488,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.56373504,,,,,,7.9274463654,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.71573504,,,,,,8.0223608017,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,152.86773504,,,,,,8.1169147491,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,153.01973504,,,,,,8.080534935,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,153.17173504,,,,,,7.0470848083,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-6 A.las,16/1-6 A Verdandi Appr,153.32373504,,,,,,6.8232159615,,,,,,,,,,,
