source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,RDEP,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,97.993202209,,,,,,,,,78.749992371,,,,1.0468859673,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.145202209,,,,,,,,,78.500648499,,,,1.3458987474,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.297202209,,,,,,,,,78.251319885,,,,1.2815891504,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.449202209,,,,,,,,,77.257888794,,,,1.2163279057,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.601202209,,,,,,,,,77.744758606,,,,1.0467119217,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.753202209,,,,,,,,,77.009872437,,,,1.0458852053,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,98.905202209,,,,,,,,,76.507888794,,,,1.1737499237,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.057202209,,,,,,,,,76.745399475,,,,1.4326809645,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.209202209,,,,,,,,,76.75,,,,1.0541278124,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.361202209,,,,,,,,,76.75,,,,0.7912971973,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.513202209,,,,,,,,,76.75,,,,0.2859268188,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.665202209,,,,,,,,,76.75,,,,0.3995417058,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-2.las,16/10-2 Delta,99.817202209,,,,,,,,,76.507850647,,,,0.6558504701,,,,,,
