source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,88.593200684,,,,,,,,,,,,,-0.703000009,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,88.745200684,,,,,,,,,,,,,-0.672579527,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,88.897200684,,,,,,,,,,,,,-0.642158985,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.049200684,,,,,,,,,,,,,-0.611739993,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.201200684,,,,,,,,,,,,,-0.581220508,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.353200684,,,,,,,,,,,,,-0.550800502,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.505200684,,,,,,,,,,,,,-0.520379961,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.657200684,,,,,,,,,,,,,-0.489959449,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.809200684,,,,,,,,,,,,,-0.475106567,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,89.961200684,,,,,,,,,,,,,-0.474799991,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.113200684,,,,,,,,,,,,,-0.474702626,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.265200684,,,,,,,,,,,,,-0.474700004,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.417200684,,,,,,,,,,,,,-0.403807342,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.569200684,,,,,,,,,,,,,-0.155492663,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.721200684,,,,,,,,,,,,,0.376445502,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,90.873200684,,,,,,,,,,,,,1.5903431177,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,91.025200684,,,,,,,,,,,,,3.7958598137,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_11-1 ST3.las,16/11-1S T3,91.177200684,,,,,,,,,,,,,8.6033267975,,,,,,
