source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.151985168,,,,,,,0.4440000057,,76.300003052,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.303985168,,,,,,,0.4300372005,0.4399818182,82.284065247,,,,11.519021034,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.455985168,,,,,,6.8983998299,0.3762841523,0.4151254594,90.257904053,,,,11.184059143,,,99.455986023,446274.28125,6468387.0,-72.65216064
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.607985168,,,,,,6.8983998299,0.3254038095,0.3620052934,90.796043396,,,,10.472920418,,,99.60798645,446274.28125,6468387.0,-72.80415344
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.759985168,,,,,,6.8983998299,0.2676104009,0.3093464673,89.810523987,,,,10.426639557,,,99.759986877,446274.28125,6468387.0,-72.95614624
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,99.911985168,,,,,,6.8983998299,0.2373939157,0.2589122355,90.786872864,,,,9.5926370621,,,99.911987305,446274.28125,6468387.0,-73.10814667
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.06398517,,,,,,6.8983998299,0.2488105744,0.2399309725,92.768432617,,,,10.171550751,,,100.06398773,446274.28125,6468387.0,-73.26013947
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.21598517,,,,,,6.8983998299,0.2637248337,0.2526598871,93.781661987,,,,10.380340576,,,100.21598816,446274.28125,6468387.0,-73.41213226
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.36798517,,,,,,6.8983998299,0.3364498019,0.2835355997,90.373321533,,,,10.614535332,,,100.36798859,446274.28125,6468387.0,-73.56413269
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.51998517,,,,,,6.8983998299,0.3682682812,0.3458998799,82.977027893,,,,10.504366875,,,100.51998138,446274.28125,6468387.0,-73.71612549
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.67198517,,,,,,6.8983998299,0.3806854784,0.3719393611,79.391738892,,,,9.8352041245,,,100.67198181,446274.28125,6468387.0,-73.86811829
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.82398517,,,,,,6.8983998299,0.3742020726,0.3793151081,78.328865051,,,,10.24776268,,,100.82398224,446274.28125,6468387.0,-74.02011871
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,100.97598517,,,,,,6.8983998299,0.3507553339,0.3676071465,80.721321106,,,,10.575417519,,,100.97598267,446274.28125,6468387.0,-74.17211151
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.12798517,,,,,,6.8983998299,0.34034127,0.3476575911,78.385322571,,,,12.710804939,,,101.12798309,446274.28125,6468387.0,-74.32410431
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.27998517,,,,,,6.8983998299,0.3005061448,0.3301891088,75.651023865,,,,12.99253273,,,101.27998352,446274.28125,6468387.0,-74.47610474
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.43198517,,,,,,6.8983998299,0.2951573431,0.2982265055,74.109016418,,,,13.134290695,,,101.43198395,446274.28125,6468387.0,-74.62809753
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.58398517,,,,,,6.8983998299,0.2710498869,0.2887682617,70.696983337,,,,12.574071884,,,101.58398438,446274.3125,6468387.0,-74.78009033
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.73598517,,,,,,6.8983998299,0.2881525457,0.2740608454,65.773017883,,,,12.815893173,,,101.7359848,446274.3125,6468387.0,-74.93209076
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,101.88798517,,,,,,6.8983998299,0.3633139729,0.3071609735,60.7862854,,,,12.113641739,,,101.88798523,446274.3125,6468387.0,-75.08408356
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.03998517,,,,,,6.8983998299,0.3584488034,0.3651449382,56.749462128,,,,10.851407051,,,102.03998566,446274.3125,6468387.0,-75.23607635
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.19198517,,,,,,6.8983998299,0.3466296494,0.3554677665,50.39106369,,,,10.476634979,,,102.19198608,446274.3125,6468387.0,-75.38807678
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.34398517,,,,,,6.8983998299,0.3110395968,0.3373450637,42.490997314,,,,11.298062325,,,102.34398651,446274.3125,6468387.0,-75.54006958
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.49598517,,,,,,6.8983998299,0.2402145714,0.2925591767,39.694332123,,,,12.439915657,,,102.49598694,446274.3125,6468387.0,-75.69206238
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.64798517,,,,,,6.8983998299,0.1927777976,0.2256751508,36.496257782,,,,13.009857178,,,102.64798737,446274.3125,6468387.0,-75.84406281
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.79998517,,,,,,6.8983998299,0.1450238079,0.1797548234,33.957489014,,,,12.388482094,,,102.79998779,446274.3125,6468387.0,-75.9960556
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,102.95198517,,,,,,6.8983998299,0.1410655975,0.1417733729,27.49281311,,,,12.543045998,,,102.95198822,446274.3125,6468387.0,-76.14805603
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.10398517,,,,,,6.8983998299,0.1437952369,0.1413314492,24.25476265,,,,14.179985046,,,103.10398865,446274.3125,6468387.0,-76.30004883
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.25598517,,,,,,6.8983998299,0.1765197515,0.1513734013,21.959444046,,,,15.639944077,,,103.25598145,446274.3125,6468387.0,-76.45204163
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.40798517,,,,,,6.8983998299,0.4235916138,0.2342562824,22.263240814,,,,16.097312927,,,103.40798187,446274.3125,6468387.0,-76.60404205
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.55998517,,,,,,6.8983998299,0.4568580985,0.4464260936,23.223873138,,,,15.662270546,,,103.5599823,446274.3125,6468387.0,-76.75603485
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.71198517,,,,,,7.0998296738,0.4441816807,0.4549102187,23.990915298,,,,15.108259201,,,103.71198273,446274.3125,6468387.0,-76.90802765
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,103.86398517,,,,,,7.8828001022,0.2978593707,0.4110437036,23.131387711,,,,14.128815651,,,103.86398315,446274.3125,6468387.0,-77.06002045
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,104.01598517,,,,,,7.8828001022,0.20347552,0.2673772573,22.591997147,,,,13.343198776,,,104.01598358,446274.3125,6468387.0,-77.21201324
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,104.16798517,,,,,,7.8828001022,0.1795596331,0.1923371404,23.00667572,,,,14.138364792,,,104.16798401,446274.3125,6468387.0,-77.36401367
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,104.31998517,,,,,,6.792289257,0.1679818183,0.176122725,15.080996513,,,,14.743462563,,,104.31998444,446274.3125,6468387.0,-77.51600647
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,104.47198517,,,,,,3.2043671608,0.1588271856,0.1656233817,9.3054962158,,,,16.324956894,,,104.47198486,446274.3125,6468387.0,-77.6680069
Force_2020_all_wells_train_test_blind_hidden_final/16_7-5.las,16/7-5,104.62398517,,,,,,7.9094891548,0.1480397135,0.1556790322,5.404446125,,,,15.587373734,,,104.62398529,446274.3125,6468387.0,-77.81999969
