source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,96.975196838,,,,,,,,,,,,7.347799778,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.127196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.279196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.431196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.583196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.735196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,97.887196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.039196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.191196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.343196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.495196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.647196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.799196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,98.951196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.103196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.255196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.407196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.559196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.711196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,99.863196838,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.01519684,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.16719684,,,,,,,,,,,,14.587415695,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.31919684,,,,,,,,,,,,14.147060394,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.47119684,,,,,,,,,,,,14.426907539,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.62319684,,,,,,,,,,,,15.409804344,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.77519684,,,,,,,,,,,,16.163961411,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,100.92719684,,,,,,,,,,,,17.038347244,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.07919684,,,,,,,,,,,,17.513830185,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.23119684,,,,,,,,,,,,17.547445297,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.38319684,,,,,,,,,,,,17.653654099,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.53519684,,,,,,,,,,,,17.491321564,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.68719684,,,,,,,,,,,,16.010700226,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.83919684,,,,,,,,,,,,15.788108826,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,101.99119684,,,,,,,,,,,,16.140028,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.14319684,,,,,,,,,,,,16.627296448,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.29519684,,,,,,,,,,,,17.240102768,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.44719684,,,,,,,,,,,,17.45063591,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.59919684,,,,,,,,,,,,17.83380127,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.75119684,,,,,,,,,,,,17.887702942,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,102.90319684,,,,,,,,,,,,18.867254257,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_8-1.las,16/8-1,103.05519684,,,,,,,,,,,,20.468090057,,,,,,
