source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,136.4467926,,,,,,,,,,,,0.1090999991,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,136.5987926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,136.7507926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,136.9027926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.0547926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.2067926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.3587926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.5107926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.6627926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.8147926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,137.9667926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.1187926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.2707926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.4227926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.5747926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.7267926,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,138.8787926,,,,,,,,,,,,0.8284829855,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.0307926,,,,,,,,,,,,1.5188325644,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.1827926,,,,,,,,,,,,2.9336051941,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.3347926,,,,,,,,,,,,5.6399612427,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.4867926,,,,,,,,,,,,10.012029648,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.6387926,,,,,,,,,,,,13.147879601,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.7907926,,,,,,,,,,,,13.723698616,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,139.9427926,,,,,,,,,,,,14.164660454,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.0947926,,,,,,,,,,,,14.801921844,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.2467926,,,,,,,,,,,,15.077415466,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.3987926,,,,,,,,,,,,14.98209095,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.5507926,,,,,,,,,,,,15.152656555,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.7027926,,,,,,,,,,,,15.651844025,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,140.8547926,,,,,,,,,,,,15.922568321,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,141.0067926,,,,,,,,,,,,15.856671333,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,141.1587926,,,,,,,,,,,,15.843429565,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,141.3107926,,,,,,,,,,,,15.957400322,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_4-1.las,17/4-1,141.4627926,,,,,,,,,,,,16.108739853,,,,,,
