source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROPA,ROP,RDEP,RSHA,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.0144,,,,,,15.07859993,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.1664,,,,,,16.013339996,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.3184,,,,,,16.948179245,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.4704,,,,,,17.883020401,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.6224,,,,,,18.817760468,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.7744,,,,,,19.752599716,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,182.9264,,,,,,20.68734169,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.0784,,,,,,20.69670105,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.2304,,,,,,19.881971359,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.3824,,,,,,19.052055359,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.5344,,,,,,18.222139359,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.6864,,,,,,17.392223358,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_10-10.las,25/10-10  Balder Triassic,183.8384,,,,,,16.562307358,,,,,,,,,,,,,,,,
