source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.0,,,,36.0,,,,,,-4498.991211,,,,42.237518311,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.152,,,,36.0,,,,,,-4497.627441,,,,42.184661865,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.304,,,,36.0,,,,,,-4496.26416,,,,42.107910156,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.456,,,,36.0,,,,,,-4494.900879,,,,41.988460541,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.608,,,,36.0,,,,,,-4493.537109,,,,41.80247879,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.76,,,,36.0,,,,,,-4492.173828,,,,41.595230103,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,185.912,,,,36.0,,,,,,-4490.810547,,,,41.467517853,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.064,,,,36.0,,,,,,-4489.446777,,,,41.413486481,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.216,,,,36.0,,,,,,-4488.083984,,,,41.452648163,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.368,,,,36.0,,,,,,-4486.720215,,,,41.522834778,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.52,,,,36.0,,,,,,-4485.356934,,,,41.583919525,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.672,,,,36.0,,,,,,-4483.993652,,,,41.554447174,,,,,,
