source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.04190063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.19390063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.34590063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.49790063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.64990063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.80190063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,139.95390063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.10590063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.25790063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.40990063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.56190063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.71390063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,140.86590063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,141.01790063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,141.16990063,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,141.32190063,,,,36.0,,,,,,,,,,11.686179161,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-14.las,25/2-14 Froey Appr,141.47390063,,,,36.0,,,,,,,,,,14.855909348,,,,,,
