source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,273.7104,,,,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,273.8624,,,,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.0144,,,,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.1664,,,,,,,101.75546265,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.3184,,,,,,,82.861679077,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.4704,,,,,,,77.413696289,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.6224,,,,,,,72.108863831,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.7744,,,,,,,69.122817993,,,,,,,,,,,75.426094055,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,274.9264,,,,,,,66.173980713,,,,,,,,,,,87.075065613,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.0784,,,,,,,64.832260132,,,,,,,,,,,98.7240448,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.2304,,,,,,,63.525005341,,,,,,,,,,,110.37302399,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.3824,,,,,,,57.762981415,,,,,,,,,,,87.991447449,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.5344,,,,,,,51.880466461,,,,,,,,,,,64.693359375,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.6864,,,,,,,52.268817902,,,,,,,,,,,54.851089478,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.8384,,,,,,,52.861560822,,,,,,,,,,,45.44613266,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,275.9904,,,,,,,53.234802246,12.954091072,,12.954091072,,,,,,,,56.118518829,,,275.99038696,463973.375,6591327.5,-250.9752808
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.1424,,,,9.875,,,53.599639893,12.470378876,,12.470378876,,,,,,,,67.558059692,,,276.14239502,463973.375,6591327.5,-251.1272583
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.2944,,,,9.875,,,55.187458038,10.257526398,,10.257526398,,,,,,,,64.91607666,,,276.29440308,463973.375,6591327.5,-251.2792358
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.4464,,,,9.875,,,56.829135895,7.9681839943,,7.9681839943,,,,,,,,61.654144287,,,276.44641113,463973.375,6591327.5,-251.4311981
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.5984,,,,9.875,,,58.398323059,5.6792578697,,5.6792578697,,,,,,,,62.664012909,,,276.59838867,463973.375,6591327.5,-251.5831909
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.7504,,,,9.875,,,59.96390152,3.3903532028,,3.3903532028,,,,,,,,63.885761261,,,276.75039673,463973.40625,6591327.5,-251.7351532
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,276.9024,,,,9.875,,,58.548660278,3.0904684067,,3.0904684067,,,,,,,,65.10774231,,,276.90240479,463973.40625,6591327.5,-251.8871307
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.0544,,,,9.875,,,56.967918396,2.90097332,,2.90097332,,,,,,,,66.329498291,,,277.05441284,463973.40625,6591327.5,-252.039093
