source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.05511475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.20711475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.35911475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.51111475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.66311475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.81511475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,975.96711475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.11911475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.27111475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.42311475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.57511475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.72711475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,976.87911475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.03111475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.18311475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.33511475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.48711475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.63911475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.79111475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,977.94311475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,978.09511475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,978.24711475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,978.39911475,,,,17.5,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_8-7.las,25/8-7  Krap 1,978.55111475,,,,17.5,,,,,,,,,,,,,,,,,,
