source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,233.24819946,,,,26.000001907,,,,1.1253889799,,,,,,,,,,233.24819946,501148.4375,6608188.5,-210.2481842
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,233.40019946,,,,26.000001907,,,,1.1288837194,1.1291536093,,,,,,,,,233.40019226,501148.4375,6608188.5,-210.400177
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,233.55219946,,,,26.000001907,,,,1.1323803663,1.1326797009,,,,,,,,,233.55220032,501148.4375,6608188.5,-210.5521698
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,233.70419946,,,,26.000001907,,,,1.1456568241,1.1490294933,,,,,,,,,233.70419312,501148.4375,6608188.5,-210.7041626
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,233.85619946,,,,26.000001907,,,,1.2114137411,1.2145571709,,,,,,,,,233.85620117,501148.4375,6608188.5,-210.8561554
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,234.00819946,,,,26.000001907,,,,1.2698942423,1.273034215,,,,,,,,,234.00819397,501148.4375,6608188.5,-211.0081482
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,234.16019946,,,,26.000001907,,,,1.3202246428,1.319478631,,,,,,,,,234.16020203,501148.4375,6608188.5,-211.1601563
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,234.31219946,,,,26.000001907,,,,1.2819106579,1.2824189663,,,,,,,,,234.31219482,501148.4375,6608188.5,-211.3121338
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,234.46419946,,,,26.000001907,,,,1.3199396133,1.3222798109,,,,,,58.333583832,,,234.46420288,501148.4375,6608188.5,-211.4641418
Force_2020_all_wells_train_test_blind_hidden_final/26_4-1.las,26/4-1,234.61619946,,,,26.000001907,,,,1.3594235182,1.3612064123,,,,,,56.697845459,,,234.61619568,501148.4375,6608188.5,-211.6161194
