source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,132.61000061,,,,,,-66.1230011,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,132.76200061,,,,,,-64.7596283,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,132.91400061,,,,,,-63.39725876,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.06600061,,,,,,-62.00696564,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.21800061,,,,,,-60.18130112,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.37000061,,,,,,-58.0344162,,,,9.529378891,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.52200061,,,,,,-55.88392639,,,,10.694660187,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.67400061,,,,,,-53.65904999,,,,10.559436798,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.82600061,,,,,,-50.24615097,,,,9.0813684464,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,133.97800061,,,,,,-46.53009033,,,,7.3809561729,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,134.13000061,,,,,,-42.83916092,,,,6.8449773788,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,134.28200061,,,,,,-39.75367355,,,,7.8875470161,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_3-1.las,29/3-1,134.43400061,,,,,,-38.41172409,,,,9.2528924942,,,,,,
