source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,200.91,2.0,30000.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.062,2.0,30000.0,17.296405792,10.796899796,0.1118000001,,0.1120000035,-6.791718483,,,,13.251701355,,,201.06199646,497360.46875,6737311.5,-179.0619965
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.214,2.0,30000.0,17.296899796,10.796899796,0.1118000001,0.8870155811,0.1120000035,-3.360497236,,,,15.189984322,,,201.21400452,497360.46875,6737311.5,-179.2140045
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.366,2.0,30000.0,17.281627655,10.796899796,0.1199256182,1.1151753664,0.1197262108,-1.137846708,,,,14.65291214,,,201.36599731,497360.46875,6737311.5,-179.3659973
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.518,2.0,30000.0,17.311765671,10.796899796,0.2335616499,0.7453445792,0.2317219824,0.5627474785,,,,15.212790489,,,201.51800537,497360.46875,6737311.5,-179.5180054
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.67,2.0,30000.0,17.236448288,10.796899796,0.1193489581,0.2536943853,0.1207442507,0.2648257911,,,,14.138691902,,,201.66999817,497360.46875,6737311.5,-179.6699982
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.822,2.0,30000.0,17.325403214,10.796899796,0.1152287796,0.1392073184,0.1150420979,-0.109214179,,,,12.735995293,,,201.82200623,497360.46875,6737311.5,-179.8220062
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,201.974,2.0,30000.0,17.328100204,15.624537468,0.1138439998,0.1324225813,0.1140447482,-0.125,,,,11.015415192,,,201.97399902,497360.46875,6737311.5,-179.973999
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.126,2.0,30000.0,17.297964096,15.781200409,0.1189193353,0.1323000044,0.1187629849,1.8992680311,,,,9.8516454697,,,202.12600708,497360.46875,6737311.5,-180.1260071
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.278,2.0,30000.0,17.326953888,15.781200409,0.1144763678,0.1337448806,0.114249818,0.6347985268,,,,9.5340223312,,,202.27799988,497360.46875,6737311.5,-180.2779999
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.43,2.0,30000.0,17.22309494,15.781200409,0.119872041,0.1342803389,0.1196843088,-1.036185622,,,,10.09386158,,,202.42999268,497360.46875,6737311.5,-180.4299927
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.582,2.0,30000.0,17.054111481,1.417137742,0.1350454986,0.1440720558,0.1351156682,-1.53879118,,,,10.663573265,,,202.58200073,497360.46875,6737311.5,-180.5820007
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.734,2.0,30000.0,16.434877396,0.7881000042,0.6526609063,1.0243176222,0.6456614137,-2.269554615,,,,10.680047989,,,202.73399353,497360.46875,6737311.5,-180.7339935
Force_2020_all_wells_train_test_blind_hidden_final/30_3-3.las,30/3-3,202.886,2.0,30000.0,16.391340256,0.7881000042,10.133429527,20.967790604,10.001646996,-2.253810883,,,,12.056822777,,,202.88600159,497360.46875,6737311.5,-180.8860016
