source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RMED,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.16958618,,,,,,,,,12.873800278,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.32158618,,,,,,,,,12.393280029,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.47358618,,,,,,,,,12.35330677,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.62558618,,,,,,,,,12.300071716,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.77758618,,,,,,,,,12.246759415,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,433.92958618,,,,,,,,,12.193447113,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.08158618,,,,,,,,,12.140135765,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.23358618,,,,,,,,,12.086823463,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.38558618,,,,,,,,,12.033512115,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.53758618,,,,,,,,,11.980199814,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.68958618,,,,,,,,,11.926886559,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.84158618,,,,,,,,,11.873575211,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,434.99358618,,,,,,,,,11.820262909,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.14558618,,,,,,,,,11.766951561,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.29758618,,,,,,,,,11.713639259,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.44958618,,,,,,,,,11.660327911,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.60158618,,,,,,,,,11.607014656,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.75358618,,,,,,,,,11.553702354,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,435.90558618,,,,,,,,,11.500391006,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,436.05758618,,,,,,,,,11.447078705,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,436.20958618,,,,,,,,,11.393767357,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,436.36158618,,,,,,,,,11.340455055,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_3-5 S.las,30/3-5S,436.51358618,,,,,,,,,11.287142754,,,,,,
