source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.0664,,,,1319.9998779,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.2184,,,,745.51184082,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.3704,,,,588.81890869,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.5224,,,,772.53546143,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.6744,,,,661.19677734,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.8264,,,,437.95272827,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,74.9784,,,,213.54330444,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.1304,,,,33.307086945,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.2824,,,,100.48819733,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.4344,,,,60.99213028,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.5864,,,,19.102355957,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.7384,,,,12.173233986,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,75.8904,,,,6.1889648438,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.0424,,,,11.795280457,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.1944,,,,17.779521942,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.3464,,,,14.15747261,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.4984,,,,10.167969704,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.6504,,,,6.1784658432,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.8024,,,,5.9999880791,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,76.9544,,,,5.9999880791,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.1064,,,,5.9999880791,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.2584,,,,5.9999880791,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.4104,,,,5.9999880791,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.5624,,,,7.8792543411,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.7144,,,,9.8740062714,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,77.8664,,,,11.868757248,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.0184,,,,13.863509178,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.1704,,,,15.858261108,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.3224,,,,17.853012085,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.4744,,,,29.086614609,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.6264,,,,41.05512619,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.7784,,,,53.023605347,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,78.9304,,,,64.992118835,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.0824,,,,38.598415375,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.2344,,,,41.464572906,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.3864,,,,25.653554916,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.5384,,,,40.299221039,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.6904,,,,36.582668304,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.8424,,,,41.401580811,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,79.9944,,,,74.314964294,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.1464,,,,56.519668579,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.2984,,,,53.999980927,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.4504,,,,48.661411285,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.6024,,,,53.322818756,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.7544,,,,48.692909241,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,80.9064,,,,26.834655762,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.0584,,,,18.724405289,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.2104,,,,12.740161896,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.3624,,,,43.464565277,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.5144,,,,47.999996185,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.6664,,,,68.850402832,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.8184,,,,56.409431458,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,81.9704,,,,95.448822021,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.1224,,,,76.173233032,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.2744,,,,72.000007629,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.4264,,,,46.330715179,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.5784,,,,62.472434998,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.7304,,,,60.897640228,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,82.8824,,,,44.74016571,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.0344,,,,52.141716003,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.1864,,,,43.889755249,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.3384,,,,31.921260834,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.4904,,,,30.000001907,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.6424,,,,75.070854187,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.7944,,,,93.9842453,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,83.9464,,,,105.95275116,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.0984,,,,89.811027527,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.2504,,,,67.868774414,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.4024,,,,45.926517487,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.5544,,,,61.65353775,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.7064,,,,80.692901611,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,84.8584,,,,54.708656311,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.0104,,,,47.999996185,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.1624,,,,38.299201965,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.3144,,,,45.669284821,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.4664,,,,38.362194061,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.6184,,,,55.212600708,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.7704,,,,36.062995911,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,85.9224,,,,44.314956665,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.0744,,,,28.976387024,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.2264,,,,19.259840012,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.3784,,,,32.173217773,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.5304,,,,17.165355682,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.6824,,,,26.078742981,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.8344,,,,25.322843552,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,86.9864,,,,28.661420822,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.1384,,,,30.000001907,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.2904,,,,25.370088577,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.4424,,,,24.000011444,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.5944,,,,30.897647858,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.7464,,,,39.874023438,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,87.8984,,,,28.299222946,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.0504,,,,28.551185608,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.2024,,,,25.464576721,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.3544,,,,28.51968956,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.5064,,,,23.994749069,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.6584,,,,16.015741348,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.8104,,,,8.036734581,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,88.9624,,,,10.456693649,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.1144,,,,7.559047699,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.2664,,,,10.425197601,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.4184,,,,29.637788773,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.5704,,,,40.393703461,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.7224,,,,28.86615181,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/30_6-5.las,30/6-5,89.8744,,,,32.724403381,,,,,,,,,,,,,,,
