source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.0762000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.2282000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.3802000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.5322000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.6842000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.8362000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,0.9882000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.1402000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.2922000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.4442000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.5962000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.7482000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,1.9002000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.0522000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.2042000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.3562000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.5082000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.6602000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.8122000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,2.9642000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.1162000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.2682000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.4202000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.5722000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.7242000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,3.8762000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,4.0282000009,,,,36.0,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-1.las,31/2-1,4.1802000009,,,,36.0,,,,,,,,,,,,,,
