source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,367.9424,,,,36.0,,,,,,,,,,,,22.153999329,,,367.94241333,520149.3125,6753026.5,-345.9423828
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.0944,,,,36.0,,,,,,,,,,,,14.997832298,,,368.09439087,520149.3125,6753026.5,-346.0943604
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.2464,,,,36.0,,,,,,,,,,,,33.281414032,,,368.24639893,520149.3125,6753026.5,-346.2463684
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.3984,,,,36.0,,0.3968370259,,0.6443330646,,,,,,,,36.116268158,,,368.39840698,520149.3125,6753026.5,-346.3983765
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.5504,,,,36.0,,0.4275829196,,0.7182367444,,,,,,,,36.84450531,,,368.55041504,520149.3125,6753026.5,-346.5503845
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.7024,,,,36.0,,0.4380648136,,0.7443627715,,,,,,,,39.016220093,,,368.70239258,520149.3125,6753026.5,-346.7023621
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,368.8544,,,,36.0,,0.4708771706,,0.8103495836,,,,,,,,40.594211578,,,368.85440063,520149.3125,6753026.5,-346.8543701
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.0064,,,,36.0,,0.4906398952,,0.8296582699,,,,,,,,41.658546448,,,369.00637817,520149.3125,6753026.5,-347.0063477
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.1584,,,,36.0,,0.5144960284,,0.8070912957,,,,,,,,42.319248199,,,369.15838623,520149.3125,6753026.5,-347.1583557
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.3104,,,,36.0,,0.530036211,,0.7923448682,,,,,,,,43.365032196,,,369.31039429,520149.3125,6753026.5,-347.3103638
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.4624,,,,36.0,,0.5387742519,,0.7861574888,,,,,,,,45.68611145,,,369.46240234,520149.3125,6753026.5,-347.4623718
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.6144,,,,36.0,,0.5506535172,,0.7743464708,,,,,,,,45.748001099,,,369.6144104,520149.3125,6753026.5,-347.6143799
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.7664,,,,36.0,,0.5695952773,,0.7843629718,,,,,,,,48.895637512,,,369.76641846,520149.3125,6753026.5,-347.7663574
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,369.9184,,,,36.0,,0.5853643417,,0.8912364841,,,,,,,,50.717266083,,,369.91842651,520149.3125,6753026.5,-347.9183655
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.0704,,,,36.0,,0.5727034211,,0.8949999809,,,,,,,,50.777999878,,,370.07040405,520149.3125,6753026.5,-348.070343
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.2224,,,,36.0,,0.5706629753,,0.8901008368,,,,,,,,51.562835693,,,370.22238159,520149.3125,6753026.5,-348.2223511
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.3744,,,,36.0,,0.57347399,,0.8644170761,,,,,,,,52.230155945,,,370.37438965,520149.3125,6753026.5,-348.3743591
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.5264,,,,36.0,,0.5758928657,,0.8439057469,,,,,,,,52.195899963,,,370.52639771,520149.3125,6753026.5,-348.5263367
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.6784,,,,36.0,,0.5800968409,,0.8470968604,,,,,,,,52.527416229,,,370.67840576,520149.3125,6753026.5,-348.6783447
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.8304,,,,36.0,,0.5847656131,,0.860316813,,,,,,,,54.305541992,,,370.83041382,520149.3125,6753026.5,-348.8303528
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,370.9824,,,,36.0,,0.5841472745,,0.8913202286,,,,,,,,49.61498642,,,370.98239136,520149.3125,6753026.5,-348.9823608
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.1344,,,,36.0,,0.5830606222,,0.9156771898,,,,,,,,49.349052429,,,371.13439941,520149.3125,6753026.5,-349.1343689
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.2864,,,,36.0,,0.5893130898,,0.8542456627,,,,,,,,49.972774506,,,371.28640747,520149.3125,6753026.5,-349.2863464
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.4384,,,,36.0,,0.575887382,,0.8678771853,,,,,,,,49.576889038,,,371.43841553,520149.3125,6753026.5,-349.4383545
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.5904,,,,36.0,,0.5721889734,,0.8961732388,,,,,,,,53.942630768,,,371.59039307,520149.3125,6753026.5,-349.590332
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.7424,,,,36.0,,0.5818110108,,0.9019243717,,,,,,,,53.798839569,,,371.74240112,520149.3125,6753026.5,-349.7423401
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,371.8944,,,,36.0,,0.6043963432,,0.9089086652,,,,,,,,53.1837883,,,371.89437866,520149.3125,6753026.5,-349.8943481
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.0464,,,,36.0,,0.6065574884,,0.921664536,,,,,,,,52.318717957,,,372.04638672,520149.3125,6753026.5,-350.0463257
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.1984,,,,36.0,,0.6078971028,,0.9339960217,,,,,,,,51.954883575,,,372.19839478,520149.3125,6753026.5,-350.1983337
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.3504,,,,36.0,,0.6085543633,,0.9470028877,,,,,,,,51.258411407,,,372.35040283,520149.3125,6753026.5,-350.3503418
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.5024,,,,36.0,,0.6144039035,,0.9621874094,,,,,,,,50.770008087,,,372.50241089,520149.3125,6753026.5,-350.5023499
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.6544,,,,36.0,,0.6226165295,,0.9780063033,,,,,,,,49.92735672,,,372.65441895,520149.3125,6753026.5,-350.6543579
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.8064,,,,36.0,,0.6260480285,,0.9819564819,,,,,,,,49.365932465,,,372.806427,520149.3125,6753026.5,-350.806366
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,372.9584,,,,36.0,,0.6354338527,,0.9766283631,,,,,,,,50.455425262,,,372.95840454,520149.3125,6753026.5,-350.9583435
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.1104,,,,36.0,,0.6376661062,,0.9768285751,,,,,,,,50.562999725,,,373.11038208,520149.3125,6753026.5,-351.110321
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.2624,,,,36.0,,0.6370735168,,0.9824396372,,,,,,,,51.54378891,,,373.26239014,520149.3125,6753026.5,-351.2623291
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.4144,,,,36.0,,0.641618073,,1.0042794943,,,,,,,,53.400596619,,,373.41439819,520149.3125,6753026.5,-351.4143372
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.5664,,,,36.0,,0.638759315,,0.9811288714,,,,,,,,53.583999634,,,373.56640625,520149.3125,6753026.5,-351.5663452
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.7184,,,,36.0,,0.6389401555,,0.9753391147,,,,,,,,53.931503296,,,373.71841431,520149.3125,6753026.5,-351.7183228
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,373.8704,,,,36.0,,0.6431291103,,0.9565086961,,,,,,,,52.444015503,,,373.87039185,520149.3125,6753026.5,-351.8703308
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.0224,,,,36.0,,0.652281642,,0.9819663763,,,,,,,,51.826969147,,,374.0223999,520149.3125,6753026.5,-352.0223389
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.1744,,,,36.0,,0.6623131037,,1.0186644793,,,,,,,,51.973110199,,,374.17440796,520149.3125,6753026.5,-352.1743469
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.3264,,,,36.0,,0.6639338136,,1.020475626,,,,,,,,52.603820801,,,374.3263855,520149.3125,6753026.5,-352.3263245
