source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,358.30490112,,,,,,,,,,-134.1999969,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,358.45690112,,,,,,,0.3933408856,,,-77.55185699,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,358.60890112,,,,,97.044197083,,0.3326262832,,,-123.3983536,,,,0.9902893305,,,358.60888672,536836.1875,6748639.5,-333.6031189
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,358.76090112,,,,,97.044197083,,0.3510849476,,,-160.7073212,,,,1.1253198385,,,358.76089478,536836.1875,6748639.5,-333.755127
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,358.91290112,,,,,1522.9627686,,0.3834709525,,,-150.0991058,,,,2.3868947029,,,358.91290283,536836.1875,6748639.5,-333.907135
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.06490112,,,,,1870.9691162,,0.4266701043,,,-105.054657,,,,2.8063218594,,,359.06491089,536836.1875,6748639.5,-334.0591431
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.21690112,,,,,1706.2785645,,0.4807336926,,,-54.8205986,,,,2.388543129,,,359.21688843,536836.1875,6748639.5,-334.2111206
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.36890112,,,,,1541.5880127,,0.5992675424,,,-48.06961823,,,,1.4078038931,,,359.36889648,536836.1875,6748639.5,-334.3631287
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.52090112,,,,,1376.8974609,,224.49887085,,,-63.28839111,,,,1.1211189032,,,359.52090454,536836.1875,6748639.5,-334.5151367
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.67290112,,,,,1212.2067871,,1520.1328125,,,-62.11547852,,,,1.956916213,,,359.6729126,536836.1875,6748639.5,-334.6671143
Force_2020_all_wells_train_test_blind_hidden_final/31_3-2.las,31/3-2,359.82490112,,,,,1047.5162354,,,,,-48.07902527,,,,2.6759440899,,,359.82489014,536836.1875,6748639.5,-334.8190918
