source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,144.82879639,,,,,,,,,,,,,9.2930002213,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,144.98079639,,,,,,,,,,,,,10.39346981,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.13279639,,,,,,,,,,,,,10.483236313,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.28479639,,,,,,,,,,,,,10.512768745,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.43679639,,,,,,,,,,,,,10.097518921,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.58879639,,,,,,,,,,,,,9.2001266479,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.74079639,,,,,,,,,,,,,8.6736268997,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,145.89279639,,,,,,,,,,,,,9.0685472488,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.04479639,,,,,,,,,,,,,9.1232852936,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.19679639,,,,,,,,,,,,,9.5514726639,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.34879639,,,,,,,,,,,,,8.310544014,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.50079639,,,,,,,,,,,,,8.576962471,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.65279639,,,,,,,,,,,,,9.4282388687,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.80479639,,,,,,,,,,,,,11.209428787,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,146.95679639,,,,,,,,,,,,,10.596089363,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.10879639,,,,,,,,,,,,,10.962977409,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.26079639,,,,,,,,,,,,,10.623682022,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.41279639,,,,,,,,,,,,,10.558325768,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.56479639,,,,,,,,,,,,,8.4603614807,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.71679639,,,,,,,,,,,,,8.1798782349,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,147.86879639,,,,,,,,,,,,,8.1650094986,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.02079639,,,,,,,,,,,,,9.8219003677,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.17279639,,,,,,,,,,,,,9.6505184174,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.32479639,,,,,,,,,,,,,10.403643608,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.47679639,,,,,,,,,,,,,10.096926689,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.62879639,,,,,,,,,,,,,10.428726196,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.78079639,,,,,,,,,,,,,10.896558762,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,148.93279639,,,,,,,,,,,,,11.385089874,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.08479639,,,,,,,,,,,,,11.471229553,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.23679639,,,,,,,,,,,,,10.675961494,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.38879639,,,,,,,,,,,,,10.939896584,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.54079639,,,,,,,,,,,,,10.596686363,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.69279639,,,,,,,,,,,,,10.926998138,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.84479639,,,,,,,,,,,,,8.9950370789,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,149.99679639,,,,,,,,,,,,,8.620631218,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.14879639,,,,,,,,,,,,,7.411547184,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.30079639,,,,,,,,,,,,,7.1799063683,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.45279639,,,,,,,,,,,,,6.3986377716,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.60479639,,,,,,,,,,,,,6.6682534218,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.75679639,,,,,,,,,,,,,8.3140363693,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,150.90879639,,,,,,,,,,,,,9.0368719101,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.06079639,,,,,,,,,,,,,9.1299171448,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.21279639,,,,,,,,,,,,,8.7505521774,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.36479639,,,,,,,,,,,,,8.6557292938,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.51679639,,,,,,,,,,,,,8.623254776,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.66879639,,,,,,,,,,,,,8.9774866104,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.82079639,,,,,,,,,,,,,9.0265426636,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,151.97279639,,,,,,,,,,,,,8.9987373352,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.12479639,,,,,,,,,,,,,9.0113182068,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.27679639,,,,,,,,,,,,,10.163631439,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.42879639,,,,,,,,,,,,,10.089034081,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.58079639,,,,,,,,,,,,,9.2700605392,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.73279639,,,,,,,,,,,,,8.7348041534,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,152.88479639,,,,,,,,,,,,,9.4146852493,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.03679639,,,,,,,,,,,,,8.4869699478,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.18879639,,,,,,,,,,,,,8.2185840607,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.34079639,,,,,,,,,,,,,8.960521698,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.49279639,,,,,,,,,,,,,10.645735741,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.64479639,,,,,,,,,,,,,10.671485901,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.79679639,,,,,,,,,,,,,9.4545097351,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,153.94879639,,,,,,,,,,,,,9.1424570084,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.10079639,,,,,,,,,,,,,9.1309356689,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.25279639,,,,,,,,,,,,,8.3951854706,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.40479639,,,,,,,,,,,,,7.8264741898,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.55679639,,,,,,,,,,,,,7.3224463463,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.70879639,,,,,,,,,,,,,7.9152898788,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,154.86079639,,,,,,,,,,,,,8.0956220627,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.01279639,,,,,,,,,,,,,8.8279542923,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.16479639,,,,,,,,,,,,,10.148265839,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.31679639,,,,,,,,,,,,,10.149560928,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.46879639,,,,,,,,,,,,,9.3312454224,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.62079639,,,,,,,,,,,,,7.2959046364,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.77279639,,,,,,,,,,,,,7.4144597054,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,155.92479639,,,,,,,,,,,,,8.6854810715,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.07679639,,,,,,,,,,,,,10.156618118,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.22879639,,,,,,,,,,,,,11.299283028,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.38079639,,,,,,,,,,,,,11.227007866,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.53279639,,,,,,,,,,,,,10.399540901,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.68479639,,,,,,,,,,,,,9.4014892578,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.83679639,,,,,,,,,,,,,9.4731817245,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,156.98879639,,,,,,,,,,,,,9.9283342361,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.14079639,,,,,,,,,,,,,9.3681955338,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.29279639,,,,,,,,,,,,,8.0728998184,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.44479639,,,,,,,,,,,,,7.9820275307,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.59679639,,,,,,,,,,,,,8.4106254578,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.74879639,,,,,,,,,,,,,8.901884079,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,157.90079639,,,,,,,,,,,,,9.0674324036,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.05279639,,,,,,,,,,,,,9.4445009232,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.20479639,,,,,,,,,,,,,9.6004657745,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.35679639,,,,,,,,,,,,,8.6068973541,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.50879639,,,,,,,,,,,,,7.8634138107,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.66079639,,,,,,,,,,,,,7.6781907082,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.81279639,,,,,,,,,,,,,8.3369588852,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,158.96479639,,,,,,,,,,,,,8.9269275665,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.11679639,,,,,,,,,,,,,9.416434288,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.26879639,,,,,,,,,,,,,8.8959608078,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.42079639,,,,,,,,,,,,,8.2792892456,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.57279639,,,,,,,,,,,,,8.4271383286,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.72479639,,,,,,,,,,,,,8.8930072784,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,159.87679639,,,,,,,,,,,,,9.0781602859,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.02879639,,,,,,,,,,,,,8.8102302551,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.18079639,,,,,,,,,,,,,8.6655931473,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.33279639,,,,,,,,,,,,,8.648935318,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.48479639,,,,,,,,,,,,,7.6661624908,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.63679639,,,,,,,,,,,,,7.2052931786,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.78879639,,,,,,,,,,,,,6.2111735344,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,160.94079639,,,,,,,,,,,,,6.3957777023,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.09279639,,,,,,,,,,,,,6.3611755371,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.24479639,,,,,,,,,,,,,6.8787889481,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.39679639,,,,,,,,,,,,,7.8085885048,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.54879639,,,,,,,,,,,,,8.4465637207,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.70079639,,,,,,,,,,,,,8.9259157181,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,161.85279639,,,,,,,,,,,,,8.1573314667,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.00479639,,,,,,,,,,,,,8.0005569458,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.15679639,,,,,,,,,,,,,7.8249535561,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.30879639,,,,,,,,,,,,,7.9634184837,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.46079639,,,,,,,,,,,,,7.4756917953,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.61279639,,,,,,,,,,,,,7.4356360435,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-5.las,31/4-5,162.76479639,,,,,,,,,,,,,7.5664463043,,,,,,,
