source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,164.79,2.0,65000.0,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,164.942,2.0,65000.0,,,,,,,,,48.294872284,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.094,2.0,65000.0,,,,,,,,,50.71490097,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.246,2.0,65000.0,,,,,,,,,49.324569702,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.398,2.0,65000.0,,,,,,,,,53.337280273,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.55,2.0,65000.0,,,,,,,,,53.710189819,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.702,2.0,65000.0,,,,,,,,,51.099822998,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,165.854,2.0,65000.0,,,,,,,,,51.660430908,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.006,2.0,65000.0,,,,,,,,,50.609676361,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.158,2.0,65000.0,,,,,,,,,49.726512909,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.31,2.0,65000.0,,,,,,,,,48.228633881,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.462,2.0,65000.0,,,,,,,,,49.789405823,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.614,2.0,65000.0,,,,,,,,,60.77179718,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.766,2.0,65000.0,,,,,,,,,61.758907318,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,166.918,2.0,65000.0,,,,,,,,,57.98286438,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.07,2.0,65000.0,,,,,,,,,48.030296326,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.222,2.0,65000.0,,,,,,,,,43.746006012,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.374,2.0,65000.0,,,,,,,,,46.741134644,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.526,2.0,65000.0,,,,,,,,,46.32818222,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.678,2.0,65000.0,,,,,,,,,48.836387634,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.83,2.0,65000.0,,,,,,,,,46.714950562,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,167.982,2.0,65000.0,,,,,,,,,49.303009033,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.134,2.0,65000.0,,,,,,,,,47.803787231,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.286,2.0,65000.0,,,,,,,,,47.369129181,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.438,2.0,65000.0,,,,,,,,,46.88571167,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.59,2.0,65000.0,,,,,,,,,50.240493774,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.742,2.0,65000.0,,,,,,,,,53.43705368,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,168.894,2.0,65000.0,,,,,,,,,50.001178741,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.046,2.0,65000.0,,,,,,,,,52.341629028,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.198,2.0,65000.0,,,,,,,,,52.681430817,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.35,2.0,65000.0,,,,,,,,,56.007137299,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.502,2.0,65000.0,,,,,,,,,52.644458771,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.654,2.0,65000.0,,,,,,,,,50.512626648,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.806,2.0,65000.0,,,,,,,,,50.702911377,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,169.958,2.0,65000.0,,,,,,,,,53.002052307,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.11,2.0,65000.0,,,,,,,,,52.505031586,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.262,2.0,65000.0,,,,,,,,,53.843532562,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.414,2.0,65000.0,,,,,,,,,49.373981476,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.566,2.0,65000.0,,,,,,,,,50.975723267,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.718,2.0,65000.0,,,,,,,,,51.678501129,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,170.87,2.0,65000.0,,,,,,,,,52.130401611,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,171.022,2.0,65000.0,,,,,,,,,50.254203796,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,171.174,2.0,65000.0,,,,,,,,,48.014087677,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_5-4 S.las,31/5-4 S,171.326,2.0,65000.0,,,,,,,,,47.908218384,,,,,,
