source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RSHA,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.0676,,,,,6.2506999969,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.2196,,,,,6.3570199013,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.3716,,,,,6.4633402824,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.5236,,,,,6.5696606636,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.6756,,,,,6.6759810448,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.8276,,,,,6.7823009491,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,379.9796,,,,,6.8886208534,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.1316,,,,,6.9026689529,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.2836,,,,,6.902900219,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.4356,,,,,6.902900219,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.5876,,,,,6.902900219,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.7396,,,,,6.902900219,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,380.8916,,,,,6.902900219,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.0436,,,,,6.8108515739,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.1956,,,,,6.5209355354,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.3476,,,,,6.2242126465,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.4996,,,,,5.9273972511,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.6516,,,,,5.6305789948,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/32_2-1.las,32/2-1,381.8036,,,,,5.3337597847,,,,,,,,,,,,,,,
