source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.1212,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.2732,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.4252,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.5772,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.7292,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,360.8812,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.0332,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.1852,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.3372,,,,9.875,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.4892,,,,9.875,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.6412,,,,9.875,,0.0,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.7932,,,,9.875,,0.0,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,361.9452,,,,9.875,,54.113510132,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.0972,,,,9.875,,82.856773376,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.2492,,,,9.875,,83.077926636,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.4012,,,,9.875,,82.684959412,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.5532,,,,9.875,,84.586013794,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.7052,,,,9.875,,85.62538147,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,362.8572,,,,9.875,,81.655754089,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.0092,,,,9.875,,79.455055237,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.1612,,,,9.875,,77.998191833,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.3132,,,,9.875,,77.249313354,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.4652,,,,9.875,,76.248893738,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.6172,,,,9.875,,75.13243866,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.7692,,,,9.875,,74.48777771,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,363.9212,,,,9.875,,74.667549133,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.0732,,,,9.875,,75.474334717,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.2252,,,,9.875,,77.50717926,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.3772,,,,9.875,,78.840118408,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.5292,,,,9.875,,80.728172302,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.6812,,,,9.875,,81.489555359,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.8332,,,,9.875,,82.347640991,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,364.9852,,,,9.875,,82.612281799,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,365.1372,,,,9.875,,83.434692383,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,365.2892,,,,9.875,,84.121208191,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,365.4412,,,,9.875,,84.978256226,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,365.5932,,,,9.875,,85.247245789,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/33_6-3 S.las,33/6-3 S,365.7452,,,,9.875,,85.189254761,,,,,,,,,,,,,
