source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.152,,,23.095733643,0.9502000213,10.359003067,4.399474144,34.296081543,-90.95903015,,,10.402828217,,,211.1519928,460128.53125,6783929.0,-189.1519775
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.304,,,23.035207748,1.7444860935,30.120548248,10.970435143,11.986561775,-77.65285492,,,9.3900938034,,,211.30400085,460128.53125,6783929.0,-189.3039856
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.456,,,22.970090866,4.9325084686,10.352104187,7.6479897499,3.8027715683,-63.00209808,,,8.9343614578,,,211.45599365,460128.53125,6783929.0,-189.4559784
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.608,,,22.393629074,3.7562816143,3.2529330254,1.4594308138,1.1255241632,-52.16197205,,,9.0298118591,,,211.60800171,460128.53125,6783929.0,-189.6079865
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.76,,,20.751146317,2.5800549984,0.9280317426,0.2821308672,0.1732556671,-46.18373108,,,9.330329895,,,211.75999451,460128.53125,6783929.0,-189.7599792
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,211.912,,,20.243314743,1.4038283825,0.1689546704,0.6131104231,0.2043076307,-39.85887146,,,10.016295433,,,211.91200256,460128.53125,6783929.0,-189.9119873
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.064,,,20.055259705,1.030313015,0.2008070201,0.1455396861,0.1814390421,-32.70936203,,,11.465058327,,,212.06399536,460128.53125,6783929.0,-190.0639801
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.216,,,19.926012039,3.7718751431,0.2134336382,0.1408140808,0.3660409153,-25.86953163,,,11.464941025,,,212.21600342,460128.53125,6783929.0,-190.2159882
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.368,,,19.856586456,3.505736351,0.3278640211,0.1828077286,0.1307828575,-19.85102272,,,10.519859314,,,212.36799622,460128.53125,6783929.0,-190.367981
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.52,,,19.961837769,3.2395973206,0.1254871786,0.4630696476,0.1279215217,-28.39173889,,,9.0150632858,,,212.52000427,460128.53125,6783929.0,-190.519989
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.672,,,20.168699265,3.0950117111,0.1777403504,1.0611978769,0.4203265607,-42.31093216,,,10.691961288,,,212.67199707,460128.53125,6783929.0,-190.6719818
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.824,,,20.707836151,3.4554338455,0.4383471906,0.9526973963,0.4832376242,-50.62503815,,,11.224492073,,,212.82400513,460128.53125,6783929.0,-190.8239899
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,212.976,,,22.714185715,3.2707278728,0.4796035886,0.9742504954,0.4502251148,-55.87606049,,,11.700987816,,,212.97599792,460128.53125,6783929.0,-190.9759827
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.128,,,23.361759186,3.2456827164,0.4283561707,0.9398921728,0.3218421936,-59.27718735,,,11.789048195,,,213.12800598,460128.53125,6783929.0,-191.1279755
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.28,,,23.362766266,4.4259252548,0.3230957687,0.3527217805,0.3554264307,-62.61436462,,,12.600642204,,,213.27999878,460128.53125,6783929.0,-191.2799683
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.432,,,23.372308731,11.554976463,0.3468675315,0.2647582591,0.2937716842,-66.13446045,,,12.664743423,,,213.43200684,460128.53125,6783929.0,-191.4319611
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.584,,,23.370319366,32.105293274,0.2895339429,0.226783663,0.281445533,-68.49389648,,,11.92570591,,,213.58399963,460128.53125,6783929.0,-191.5839539
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.736,,,23.361621857,6.1142735481,0.2801266909,0.2018250227,0.2743304372,-72.0775528,,,10.405950546,,,213.73599243,460128.53125,6783929.0,-191.7359467
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,213.888,,,23.361660004,3.2559568882,0.2748961449,0.1603425294,0.2806509435,-74.17022705,,,8.6763944626,,,213.88800049,460128.53125,6783929.0,-191.8879547
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.04,,,23.370210648,2.8326439857,0.2831526995,0.1441417187,0.2961612046,-74.4178772,,,9.1528530121,,,214.03999329,460128.53125,6783929.0,-192.0399475
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.192,,,23.362400055,4.6759281158,0.2990281582,0.1482006311,0.3083390892,-74.79263306,,,10.755788803,,,214.19200134,460128.53125,6783929.0,-192.1919403
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.344,,,23.363861084,10.666652679,0.3104923368,0.1677269936,0.3184227049,-76.21327209,,,12.466022491,,,214.34399414,460128.53125,6783929.0,-192.3439331
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.496,,,23.373353958,17.316831589,0.3141469061,0.1650898457,0.2832946777,-74.16607666,,,12.94092083,,,214.4960022,460128.53125,6783929.0,-192.4959412
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.648,,,23.374673843,24.650449753,0.2784908414,0.1588063836,0.2641330957,-77.46141815,,,12.840983391,,,214.647995,460128.53125,6783929.0,-192.6479187
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.8,,,23.371227264,13.383229256,0.2558549941,0.1560842395,0.2097391337,-79.48605347,,,12.315795898,,,214.80000305,460128.53125,6783929.0,-192.7999268
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,214.952,,,23.362197876,13.495892525,0.2068306804,0.1551740319,0.2115904689,-82.10721588,,,12.733557701,,,214.95199585,460128.53125,6783929.0,-192.9519196
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,215.104,,,23.359510422,17.259771347,0.2082862854,0.1543000042,0.1850537062,-84.59623718,,,12.371614456,,,215.10400391,460128.53125,6783929.0,-193.1039276
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,215.256,,,23.361713409,19.856361389,0.1831917614,0.1542396247,0.187632665,-85.88013458,,,11.919870377,,,215.2559967,460128.53125,6783929.0,-193.2559052
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,215.408,,,23.370853424,16.277946472,0.1898622066,0.1539181024,0.2064775527,-85.57257843,,,9.8609046936,,,215.40800476,460128.53125,6783929.0,-193.4079132
Force_2020_all_wells_train_test_blind_hidden_final/34_10-19.las,34/10-19,215.56,,,23.362323761,15.288799286,0.2061490417,0.1546845287,0.1969442368,-85.34283447,,,10.545171738,,,215.55999756,460128.53125,6783929.0,-193.559906
