source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,RDEP,RSHA,RMED,RMIC,DTS,DTC,NPHI,GR,RHOB,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,65.875,,,,,294.85281372,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.027,,,,,152.12930298,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.179,,,,,52.126491547,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.331,,,,,39.556575775,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.483,,,,,35.575855255,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.635,,,,,31.40316391,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.787,,,,,31.082241058,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,66.939,,,,,42.976661682,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.091,,,,,51.885864258,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.243,,,,,55.51058197,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.395,,,,,63.903968811,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.547,,,,,92.029808044,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.699,,,,,120.74479675,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,67.851,,,,,150.46960449,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,68.003,,,,,167.92887878,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,68.155,,,,,139.50389099,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,68.307,,,,,114.92565155,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,68.459,,,,,98.200027466,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-1.las,34/11-1,68.611,,,,,139.49383545,,,,,,,,,,,,,
