source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROPA,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.0,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.152,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.304,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.456,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.608,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.76,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,286.912,,,,999.90002441,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.064,,,,962.23602295,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.216,,,,872.78399658,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.368,,,,783.33203125,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.52,,,,693.88000488,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.672,,,,604.42797852,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.824,,,,514.97601318,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,287.976,,,,425.52398682,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.128,,,,378.10720825,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.28,,,,338.57199097,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.432,,,,299.0368042,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.584,,,,259.50158691,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.736,,,,219.96640015,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,288.888,,,,180.43119812,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.04,,,,149.63200378,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.192,,,,143.29360962,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.344,,,,136.9552002,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.496,,,,130.61680603,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.648,,,,124.27839661,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.8,,,,117.94000244,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,289.952,,,,111.60160065,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.104,,,,108.47679901,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.256,,,,106.83519745,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.408,,,,105.19360352,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.56,,,,103.55200195,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.712,,,,101.91040039,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,290.864,,,,100.26879883,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.016,,,,98.796806335,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.168,,,,98.766403198,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.32,,,,98.736000061,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.472,,,,98.705604553,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.624,,,,98.675201416,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.776,,,,98.644798279,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,291.928,,,,98.614395142,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.08,,,,93.70400238,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.232,,,,84.401596069,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.384,,,,75.099197388,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.536,,,,65.796798706,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.688,,,,56.494400024,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.84,,,,47.192001343,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,292.992,,,,37.889602661,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.144,,,,35.499202728,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.296,,,,33.492801666,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.448,,,,31.486400604,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.6,,,,29.48000145,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.752,,,,27.473600388,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,293.904,,,,25.467201233,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.056,,,,24.211200714,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.208,,,,24.241600037,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.36,,,,24.272001266,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.512,,,,24.302400589,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.664,,,,24.332799911,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.816,,,,24.363199234,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,294.968,,,,24.393600464,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.12,,,,24.232000351,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.272,,,,24.019199371,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.424,,,,23.806400299,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.576,,,,23.593599319,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.728,,,,23.380800247,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,295.88,,,,23.167999268,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.032,,,,22.913600922,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.184,,,,22.503200531,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.336,,,,22.09280014,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.488,,,,21.68239975,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.64,,,,21.271999359,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.792,,,,20.861598969,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,296.944,,,,20.451198578,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.096,,,,20.01199913,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.248,,,,19.555999756,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.4,,,,19.099998474,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.552,,,,18.6439991,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.704,,,,18.187999725,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,297.856,,,,17.731998444,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.008,,,,17.281599045,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.16,,,,16.931999207,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.312,,,,16.582399368,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.464,,,,16.23279953,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.616,,,,15.883199692,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.768,,,,15.533599854,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,298.92,,,,15.184000015,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,299.072,,,,14.877599716,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,299.224,,,,14.619199753,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,299.376,,,,14.360799789,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_11-2 S.las,34/11-2 S,299.528,,,,14.102399826,,,,,,,,,,,,,,,
