source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,419.60943604,,,21.593959808,,,,-106.9049988,,,,3.2618689537,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,419.76143604,,,21.516191483,,,,-136.3325348,,,,2.9947886467,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,419.91343604,,,21.515989304,,,,-110.0404587,,,,3.26049757,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.06543604,,,21.500076294,,,,-93.53316498,,,,2.9903931618,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.21743604,,,21.40694809,,,,-92.16802979,,,,3.5311515331,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.36943604,,,21.344820023,,,,-94.12883759,,,,3.2738871574,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.52143604,,,21.358753204,,,,-94.40106201,,,,4.0809092522,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.67343604,,,21.344278336,,,,-94.89599609,,,,3.8270218372,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.82543604,,,21.358592987,,,,-95.88435364,,,,4.0843319893,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_2-4.las,34/2-4,420.97743604,,,21.161020279,,,,-97.24795532,,,,3.8095519543,,,,,,,
