source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,372.81846696,,,,,,164.42469788,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,372.97046696,,,,,,164.42469788,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.12246696,,,,,,164.54943848,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.27446696,,,,,,15.076311111,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.42646696,,,,,,15.146084785,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.57846696,,,,,,15.15941143,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.73046696,,,,,,20.778409958,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,373.88246696,,,,,,20.868314743,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.03446696,,,,,,24.771684647,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.18646696,,,,,,24.8554039,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.33846696,,,,,,28.918771744,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.49046696,,,,,,29.028297424,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.64246696,,,,,,44.827518463,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.79446696,,,,,,45.341316223,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,374.94646696,,,,,,94.390518188,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.09846696,,,,,,96.251419067,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.25046696,,,,,,96.251419067,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.40246696,,,,,,120.77667236,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.55446696,,,,,,121.9167099,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.70646696,,,,,,121.67722321,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,375.85846696,,,,,,121.66470337,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.01046696,,,,,,121.66470337,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.16246696,,,,,,127.25178528,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.31446696,,,,,,127.59291077,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.46646696,,,,,,127.59291077,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.61846696,,,,,,127.59291077,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.77046696,,,,,,129.97052002,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,376.92246696,,,,,,130.144104,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.07446696,,,,,,130.144104,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.22646696,,,,,,128.1829834,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.37846696,,,,,,128.0218811,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.53046696,,,,,,127.62773132,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.68246696,,,,,,127.59291077,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.83446696,,,,,,103.11410522,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,377.98646696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.13846696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.29046696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.44246696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.59446696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.74646696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,378.89846696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.05046696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.20246696,,,,,,100.79870605,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.35446696,,,,,,117.68920898,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.50646696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.65846696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.81046696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,379.96246696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,380.11446696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,380.26646696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,380.41846696,,,,,,119.83370972,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,380.57046696,,,,,,548.06219482,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_4-10 R.las,34/4-10 R,380.72246696,,,,,,614.12884521,,,,,,,,,,,,,
