source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,411.98599243,,,,,,,,,,,,,46.603298187,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.13799243,,,,,,,,,,,,,47.522251129,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.28999243,,,,,55.68006134,,,,,,,,43.450733185,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.44199243,,,,,54.464057922,,,,,,,,47.1288414,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.59399243,,,,,53.248058319,,,,,,,,45.790107727,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.74599243,,,,,52.032058716,,,,,,,,47.543571472,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,412.89799243,,,,,50.816059113,,,,,,,,43.099720001,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.04999243,,,,,49.340923309,,,,,,,,42.123844147,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.20199243,,,,,47.374099731,,,,,,,,40.302787781,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.35399243,,,,,45.398097992,,,,,,,,42.638633728,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.50599243,,,,,43.422096252,,,,,,,,42.209072113,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.65799243,,,,,41.446098328,,,,,,,,43.841091156,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 A.las,34/5-1 A,413.80999243,,,,,39.470100403,,,,,,,,44.534069061,,,,,,
