source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROPA,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,411.986,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.138,,,,,,56.895999908,,,,,,,,46.43516922,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.29,,,,,,55.680000305,,,,,,,,45.116054535,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.442,,,,,,54.464000702,,,,,,,,46.056682587,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.594,,,,,,53.247997284,,,,,,,,46.455780029,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.746,,,,,,52.031997681,,,,,,,,46.221305847,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,412.898,,,,,,50.809909821,,,,,,,,43.82705307,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.05,,,,,,49.350002289,,,,,,,,41.927288055,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.202,,,,,,47.374000549,,,,,,,,41.168663025,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.354,,,,,,45.39799881,,,,,,,,42.05695343,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.506,,,,,,43.422000885,,,,,,,,42.648273468,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.658,,,,,,41.445999146,,,,,,,,43.645782471,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.81,,,,,,39.470001221,,,,,,,,44.054027557,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,413.962,,,,,,37.966617584,,,,,,,,43.009571075,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.114,,,,,,38.178001404,,,,,,,,42.215293884,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.266,,,,,,39.748664856,,,,,,,,43.083957672,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.418,,,,,,41.319332123,,,,,,,,45.318798065,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.57,,,,,,42.88999939,,,,,,,,45.830852509,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.722,,,,,,44.460666656,,,,,,,,46.60508728,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,414.874,,,,,,46.031333923,,,,,,,,47.709163666,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.026,,,,,,47.417812347,,,,,,,,49.271934509,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.178,,,,,,48.282665253,,,,,,,,47.862388611,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.33,,,,,,49.093334198,,,,,,,,45.929431915,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.482,,,,,,49.903999329,,,,,,,,45.131725311,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.634,,,,,,50.714668274,,,,,,,,43.689712524,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.786,,,,,,51.525333405,,,,,,,,41.904273987,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,415.938,,,,,,52.149291992,,,,,,,,41.659088135,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.09,,,,,,51.86416626,,,,,,,,44.2358284,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.242,,,,,,50.508834839,,,,,,,,46.115760803,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.394,,,,,,49.153499603,,,,,,,,46.839424133,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.546,,,,,,47.798168182,,,,,,,,45.673000336,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.698,,,,,,46.442832947,,,,,,,,46.654632568,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,416.85,,,,,,45.087501526,,,,,,,,47.75598526,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.002,,,,,,43.5520401,,,,,,,,49.744937897,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.154,,,,,,41.377235413,,,,,,,,50.69821167,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.306,,,,,,39.0352211,,,,,,,,52.089691162,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.458,,,,,,36.693283081,,,,,,,,50.962814331,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.61,,,,,,34.351322174,,,,,,,,50.244636536,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.762,,,,,,32.009307861,,,,,,,,48.520591736,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_5-1 S.las,34/5-1 S,417.914,,,,,,29.773332596,,,,,,,,48.320770264,,,,,,
