source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.0424,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.1944,,,,36.0,,,,,,,,8.4275283813,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.3464,,,,36.0,,,,,,,,10.959095001,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.4984,,,,36.0,,,,,,,,13.268278122,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.6504,,,,36.0,,,,,,,,14.27652359,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.8024,,,,36.0,,,,,,,,13.870674133,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,406.9544,,,,36.0,,,,,,,,13.314464569,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.1064,,,,36.0,,,,,,,,13.354714394,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.2584,,,,36.0,,,,,,,,13.252886772,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.4104,,,,36.0,,,,,,,,12.53055191,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.5624,,,,36.0,,,,,,,,12.037596703,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.7144,,,,36.0,,,,,,,,12.294298172,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,407.8664,,,,36.0,,,,,,,,13.132526398,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.0184,,,,36.0,6.8366398811,,,,,,,13.598762512,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.1704,,,,36.0,6.3958396912,,,,,,,13.485507011,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.3224,,,,36.0,5.955039978,,,,,,,12.45806694,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.4744,,,,36.0,5.5142397881,,,,,,,11.086639404,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.6264,,,,36.0,5.0734400749,,,,,,,10.268292427,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.7784,,,,36.0,4.6326398849,,,,,,,10.531264305,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,408.9304,,,,36.0,4.1918401718,,,,,,,11.585108757,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.0824,,,,36.0,4.039440155,,,,,,,12.435790062,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.2344,,,,36.0,4.1306400299,,,,,,,12.178328514,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.3864,,,,36.0,4.2218399048,,,,,,,11.219822884,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.5384,,,,36.0,4.3130402565,,,,,,,11.40158844,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.6904,,,,36.0,4.4042401314,,,,,,,12.494102478,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.8424,,,,36.0,4.4954400063,,,,,,,13.287028313,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,409.9944,,,,36.0,4.586640358,,,,,,,12.628685951,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.1464,,,,36.0,4.8344883919,,,,,,,11.840419769,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.2984,,,,36.0,5.0883283615,,,,,,,11.804582596,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.4504,,,,36.0,5.3421683311,,,,,,,12.153051376,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.6024,,,,36.0,5.5960083008,,,,,,,13.475832939,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.7544,,,,36.0,5.8498482704,,,,,,,14.142930031,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,410.9064,,,,36.0,6.1036882401,,,,,,,14.072555542,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.0584,,,,36.0,6.2284641266,,,,,,,13.116969109,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.2104,,,,36.0,6.1463842392,,,,,,,12.553912163,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.3624,,,,36.0,6.064303875,,,,,,,12.39839077,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.5144,,,,36.0,5.9822239876,,,,,,,11.626694679,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.6664,,,,36.0,5.9001441002,,,,,,,10.805584908,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.8184,,,,36.0,5.818063736,,,,,,,10.193448067,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,411.9704,,,,36.0,5.7359838486,,,,,,,9.804438591,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.1224,,,,36.0,5.5082478523,,,,,,,9.7979183197,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.2744,,,,36.0,5.2452878952,,,,,,,10.515750885,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.4264,,,,36.0,4.9823279381,,,,,,,12.265041351,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.5784,,,,36.0,4.719367981,,,,,,,13.091923714,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.7304,,,,36.0,4.4564080238,,,,,,,13.396151543,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,412.8824,,,,36.0,4.1934480667,,,,,,,13.323946953,,,,,
