source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.09185136,,,,,,13.816797256,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.24385136,,,,36.0,24.198696136,36.526145935,,,,,,,,9.4681434631,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.39585136,,,,36.0,23.558479309,89.59576416,,,,,,,,8.1116418839,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.54785136,,,,36.0,22.918264389,142.75909424,,,,,,,,8.0173616409,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.69985136,,,,36.0,22.278049469,123.10103607,,,,,,,,10.443552971,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,282.85185136,,,,36.0,21.637834549,97.142959595,,,,,,,,18.620094299,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,283.00385136,,,,36.0,20.997619629,72.665458679,,,,,,,,40.420330048,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,283.15585136,,,,36.0,20.357404709,66.44657135,,,,,,,,59.700752258,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,283.30785136,,,,36.0,19.717189789,64.925971985,0.854995966,0.8705798984,,,,,,71.812385559,,,283.30786133,543469.0625,6856277.0,-258.3078613
Force_2020_all_wells_train_test_blind_hidden_final/35_3-7 S.las,35/3-7 S,283.45985136,,,,36.0,19.076972961,4.5575079918,0.8768392801,0.8935229182,,,,,,72.027572632,,,283.45983887,543469.0625,6856277.0,-258.4598083
