source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,RDEP,RSHA,RMED,RMIC,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.04040527,,,,,,,,,,,,,52.087299347,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.19240527,,,,,,,,,,,,,52.634941101,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.34440527,,,,,,,,,,,,,54.750808716,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.49640527,,,,,,,,,,,,,58.95621109,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.64840527,,,,,,,,,,,,,62.719154358,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.80040527,,,,,,,,,,,,,66.997161865,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,390.95240527,,,,,,,,,,,,,69.98828125,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.10440527,,,,,,,,,,,,,73.001426697,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.25640527,,,,,,,,,,,,,74.857589722,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.40840527,,,,,,,,,,,,,76.988311768,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.56040527,,,,,,,,,,,,,77.07862854,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.71240527,,,,,,,,,,,,,76.736450195,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,391.86440527,,,,,,,,,,,,,76.598960876,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.01640527,,,,,,,,,,,,,77.607803345,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.16840527,,,,,,,,,,,,,76.502151489,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.32040527,,,,,,,,,,,,,73.805854797,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.47240527,,,,,,,,,,,,,72.061157227,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.62440527,,,,,,,,,,,,,70.985420227,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_8-4.las,35/8-4,392.77640527,,,,,,,,,,,,,69.563537598,,,,,,
