source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,388.9736,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.1256,,,,36.0,,,,,,,,18.345596313,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.2776,,,,36.0,,,,,,,,18.623601913,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.4296,,,,36.0,,,,,,,,18.929748535,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.5816,,,,36.0,,,,,,,,19.414316177,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.7336,,,,36.0,,,,,,,,20.222974777,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,389.8856,,,,36.0,,,,,,,,20.742261887,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.0376,,,,36.0,,,,,,,,20.579307556,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.1896,,,,36.0,,,,,,,,20.212423325,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.3416,,,,36.0,,,,,,,,20.370275497,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.4936,,,,36.0,,,,,,,,20.906288147,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.6456,,,,36.0,,,,,,,,20.920215607,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.7976,,,,36.0,,,,,,,,20.437108994,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,390.9496,,,,36.0,,,,,,,,20.913692474,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.1016,,,,36.0,,,,,,,,22.106782913,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.2536,,,,36.0,,,,,,,,22.581159592,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.4056,,,,36.0,,,,,,,,22.565849304,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.5576,,,,36.0,,,,,,,,22.481678009,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.7096,,,,36.0,,,,,,,,21.485404968,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,391.8616,,,,36.0,,,,,,,,19.843647003,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.0136,,,,36.0,,,,,,,,18.586086273,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.1656,,,,36.0,,,,,,,,17.727926254,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.3176,,,,36.0,,,,,,,,17.80172348,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.4696,,,,36.0,,,,,,,,19.113876343,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.6216,,,,36.0,,,,,,,,20.374759674,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.7736,,,,36.0,,,,,,,,20.264648438,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,392.9256,,,,36.0,,,,,,,,19.137563705,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,393.0776,,,,36.0,,,,,,,,17.215139389,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-10 S.las,35/9-10 S,393.2296,,,,36.0,,,,,,,,14.270424843,,,,,,
