source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROPA,RDEP,RMED,RMIC,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.0,,,,25.707000732,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.152,,,,27.554103851,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.304,,,,29.401208878,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.456,,,,31.248311996,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.608,,,,33.095417023,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.76,,,,34.942520142,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,395.912,,,,36.78962326,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.064,,,,38.636722565,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.216,,,,40.483810425,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.368,,,,42.330898285,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.52,,,,44.177986145,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.672,,,,46.02507782,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.824,,,,47.87216568,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,396.976,,,,49.71925354,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.128,,,,49.11151886,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.28,,,,48.043506622,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.432,,,,46.975494385,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.584,,,,45.907482147,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.736,,,,44.83946991,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,397.888,,,,43.771457672,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.04,,,,42.70344162,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.192,,,,41.635414124,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.344,,,,40.567382813,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.496,,,,39.499355316,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.648,,,,38.43132782,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.8,,,,37.363300323,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,398.952,,,,36.295272827,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.104,,,,34.920017242,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.256,,,,33.402965546,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.408,,,,31.885915756,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.56,,,,30.368864059,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.712,,,,28.851812363,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,399.864,,,,27.334760666,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.016,,,,25.817710876,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.168,,,,24.300676346,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.32,,,,22.783639908,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.472,,,,21.26660347,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.624,,,,19.749567032,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.776,,,,18.232532501,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,400.928,,,,16.715496063,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.08,,,,15.822635651,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.232,,,,15.491534233,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.384,,,,15.160432816,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.536,,,,14.829330444,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.688,,,,14.498229027,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.84,,,,14.167127609,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,401.992,,,,13.836026192,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.144,,,,13.504939079,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.296,,,,13.173852921,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.448,,,,12.842765808,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.6,,,,12.511679649,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.752,,,,12.180593491,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,402.904,,,,11.849507332,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,403.056,,,,11.940453529,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,403.208,,,,12.75488472,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,403.36,,,,13.56931591,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,403.512,,,,14.383748055,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-6 S.las,35/9-6 S,403.664,,,,15.198179245,,,,,,,,,,,,,
