source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RSHA,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.0164,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.1684,,,,,,,2.0588490963,0.9340392947,1.3914734125,,,,,,,,198.168396,444904.0,6421723.0,-154.1680298
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.3204,,,,,,,1.8269225359,0.9623523951,1.8336726427,,,,,,,,198.32040405,444904.0,6421723.0,-154.3200378
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.4724,,,,,,,1.8282794952,1.3606342077,1.5539427996,,,,,,,,198.47239685,444904.0,6421723.0,-154.4720306
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.6244,,,,,,,1.4154003859,1.3101714849,2.4556663036,,,,,,,,198.62440491,444904.0,6421723.0,-154.6240387
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.7764,,,,,,,1.536237359,1.3051589727,1.9924771786,,,,,,,,198.77639771,444904.0,6421723.0,-154.7760162
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,198.9284,,,,,,,1.4247119427,1.188467145,1.6786239147,,,,,,,,198.92840576,444904.0,6421723.0,-154.9280243
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,199.0804,,,,,,,1.0732585192,1.2728815079,1.5828050375,,,,,,,,199.08039856,444904.0,6421723.0,-155.0800171
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,199.2324,,,,17.5,,,1.0589663982,1.2929039001,1.4579503536,,,,,,,,199.23240662,444904.0,6421723.0,-155.2320251
Force_2020_all_wells_train_test_blind_hidden_final/7_1-2 S.las,7/1-2 S,199.3844,,,,17.5,,,1.0307780504,1.4074380398,1.6867003441,,,,,8.9367589951,,,199.38439941,444904.0,6421723.0,-155.3840179
